port_id,port_name,lat,lon,port_time_h,port_label
P01,Malaga,36.72,-4.42,79.160815,P01 - Malaga
P02,Bastia,42.7,9.451943463,20.878462,P02 - Bastia
P03,Monfalcone,45.78861111,13.55265018,71.588827,P03 - Monfalcone
P04,Mali Losinj,44.53833333,14.45759717,24.649903,P04 - Mali Losinj
P05,Cagliari,39.20416667,9.107597173,58.514194,P05 - Cagliari
P06,Savona,44.31166667,8.489517079,89.394112,P06 - Savona
P07,Valencia,39.4699,-0.3763,80.171695,P07 - Valencia
P08,Monaco,43.73194444,7.420906949,78.691735,P08 - Monaco
P09,Dubrovnik,42.66,18.07638398,61.929703,P09 - Dubrovnik
P10,Piraeus,37.93722222,23.6565371,65.157355,P10 - Piraeus
P11,La Spezia,44.08722222,9.850353357,92.176813,P11 - La Spezia
P12,Calvi,42.56583333,8.755300353,70.078843,P12 - Calvi
P13,Alghero,40.56277778,8.30795053,64.999927,P13 - Alghero
P14,Barcelona,41.352507,2.15465,28.845451,P14 - Barcelona
P15,Thessaloniki,40.635,22.91772674,87.961429,P15 - Thessaloniki
P16,Marsaxlokk,35.82611111,14.54128386,31.502521,P16 - Marsaxlokk
P17,La Maddalena,41.21333333,9.409363958,37.787176,P17 - La Maddalena
P18,Palermo,38.13083333,13.36984688,47.68255,P18 - Palermo
P19,Sete,43.40472222,3.71024735,69.262876,P19 - Sete
P20,Katakolon,37.64638889,21.31861013,75.431773,P20 - Katakolon
P21,Tanger Med,35.89,-5.496944,35.622739,P21 - Tanger Med
P22,Bari,41.13694444,16.85530035,19.676377,P22 - Bari
P23,Canea,35.51805556,24.00971731,87.894793,P23 - Canea
P24,Marseille,43.2965,5.3698,96.759379,P24 - Marseille
P25,Alexandria,31.33492329,30.16765719,34.406542,P25 - Alexandria
P26,Algeciras,36.14777778,-5.400353357,46.766962,P26 - Algeciras
P27,Limassol,34.683333,33.05,49.841632,P27 - Limassol
P28,Durres,41.30777778,19.45300353,31.660498,P28 - Durres
P29,Ancona,43.61833333,13.49234393,17.017705,P29 - Ancona
P30,Trieste,45.645,13.75424028,53.492068,P30 - Trieste
P31,Rovinj,45.08055556,13.63492344,51.755014,P31 - Rovinj
P32,Licata,37.09027778,13.93828033,44.54002,P32 - Licata
P33,Nice,43.7102,7.262,85.51189,P33 - Nice
P34,Siracusa,37.06611111,15.28757362,79.453099,P34 - Siracusa
P35,Lampedusa,35.49916667,12.6024735,98.624998,P35 - Lampedusa
P36,Izmir,38.416667,27.15,12.71593,P36 - Izmir
P37,Zadar,44.1175,15.21931684,11.067841,P37 - Zadar
P38,Toulon,43.1256,5.9307,91.722133,P38 - Toulon
P39,Alicante,38.33527778,-0.48828033,75.044755,P39 - Alicante
P40,Alger,36.76,3.06,14.118094,P40 - Alger
